,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
2511,Flora, Angiospermas, Lauraceae, Ocotea odorifera, canela sassafras, Em Perigo EN , EN," Cerrado, Mata Atlantica", Extracao de Madeira Perda de Habitat Degradacao Induzida por Humanos Baixo Recrutamento Reproducao Regeneracao Endogamia, Sim, Sim, Nao,3, Sim," BA, ES, MG, PR, RJ, RS, SC, SP "
2512,Flora, Angiospermas, Lauraceae, Ocotea porosa, , Em Perigo EN , EN, Mata Atlantica, Extracao de Madeira, Sim, Sim, Nao,3, Sim," MG, PR, RJ, SC, SP"
2513,Flora, Angiospermas, Lauraceae, Ocotea serrana, canelinha, Em Perigo EN , EN, Mata Atlantica, Extracao de Madeira Distribuicao Restrita, Sim, Nao, Nao,2, Sim, SP
2514,Flora, Angiospermas, Lauraceae, Ocotea tabacifolia, , Em Perigo EN , EN," Amazonia, Cerrado, Mata Atlantica", Perda de Habitat Degradacao Induzida por Humanos , Sim, Sim, Nao,3, Informacao nao disponivel," AM, MG, RO, RJ, SP"
2515,Flora, Angiospermas, Orchidaceae, Octomeria alexandri, , Em Perigo EN , EN," Cerrado, Mata Atlantica", Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim," BA, RJ, RS, SP"
2516,Flora, Angiospermas, Orchidaceae, Octomeria chamaeleptotes, , Vulneravel VU , VU, Mata Atlantica, Queimadas, Sim, Sim, Nao,3, Nao," ES, PR, RJ, RS, SC "
2517,Flora, Angiospermas, Orchidaceae, Octomeria geraensis, , Vulneravel VU , VU, Mata Atlantica, Agropecuaria, Sim, Nao, Nao,2, Sim," ES, MG, RJ, SP"
2518,Flora, Angiospermas, Orchidaceae, Octomeria hatschbachii, , Vulneravel VU , VU," Caatinga, Mata Atlantica", Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim," BA, PR, RJ, SC, SP"
2519,Flora, Angiospermas, Orchidaceae, Octomeria hoehnei, , Em Perigo EN , EN, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim, SP
2520,Flora, Angiospermas, Orchidaceae, Octomeria lichenicola, , Em Perigo EN , EN, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim," PR, RJ, RS, SC, SP"
2521,Flora, Angiospermas, Orchidaceae, Octomeria truncicola, , Vulneravel VU , VU, Mata Atlantica, Assentamentos Humanos Cidades Agropecuaria Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim," MG, RJ, SC, SP"
2522,Flora, Angiospermas, Orchidaceae, Octomeria wawrae, , Em Perigo EN , EN, Mata Atlantica, Agropecuaria Queimadas, Sim, Nao, Nao,2, Sim," MG, RJ, SP"
2523,Flora, Angiospermas, Orchidaceae, Octomeria wilsoniana, , Criticamente em Perigo CR , CR, Mata Atlantica, Assentamentos Humanos Cidades, Sim, Nao, Nao,2, Sim, SP
2524,Flora, Angiospermas, Acanthaceae, Odontonema dissitiflorum, , Em Perigo EN , EN, Mata Atlantica, Agropecuaria Queimadas, Sim, Nao, Nao,2, Sim," ES, RJ"
2525,Flora, Angiospermas, Poaceae, Olyra latispicula, , Criticamente em Perigo CR , CR, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim, BA
2526,Flora, Angiospermas, Lamiaceae, Oocephalus piranii, , Criticamente em Perigo CR , CR, Cerrado, Vazio, Sim, Sim, Nao,2, Sim, MG
2527,Flora, Angiospermas, Bromeliaceae, Orthophytum amoenum, , Em Perigo EN , EN, Caatinga, Extracao de Nao Madereiras Mineracao Agropecuaria, Sim, Nao, Nao,2, Sim, BA
2528,Flora, Angiospermas, Bromeliaceae, Orthophytum duartei, , Em Perigo EN , EN, Mata Atlantica, Distribuicao Restrita, Sim, Nao, Nao,2, Sim," ES, MG"
2529,Flora, Angiospermas, Bromeliaceae, Orthophytum foliosum, , Vulneravel VU , VU, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim," ES, MG"
2530,Flora, Angiospermas, Bromeliaceae, Orthophytum fosterianum, , Em Perigo EN , EN, Mata Atlantica, Mineracao, Sim, Nao, Nao,2, Sim, ES
2531,Flora, Angiospermas, Bromeliaceae, Orthophytum grossiorum, , Em Perigo EN , EN, Mata Atlantica, Agropecuaria Especies Invasoras, Nao, Nao, Nao,1, Sim, MG
2532,Flora, Angiospermas, Bromeliaceae, Orthophytum humile, , Criticamente em Perigo CR , CR, Cerrado, Vazio, Sim, Sim, Nao,2, Sim, MG
2533,Flora, Angiospermas, Bromeliaceae, Orthophytum magalhaesii, , Em Perigo EN , EN, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim," BA, ES, MG"
2534,Flora, Angiospermas, Bromeliaceae, Orthophytum zanonii, , Criticamente em Perigo CR , CR, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim, ES
2535,Flora, Angiospermas, Melastomataceae, Ossaea warmingiana, , Vulneravel VU , VU, Cerrado, Perda de Habitat Degradacao Induzida por Humanos , Sim, Sim, Nao,3, Sim," DF, GO, MG"
2536,Flora, Angiospermas, Ochnaceae, Ouratea hatschbachii, , Em Perigo EN , EN, Cerrado, Queimadas, Sim, Sim, Nao,2, Sim," BA, MG"
2537,Flora, Angiospermas, Oxalidaceae, Oxalis arachnoidea, , Criticamente em Perigo CR , CR, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim, SP
2538,Flora, Angiospermas, Oxalidaceae, Oxalis bela vitoriae, , Criticamente em Perigo CR , CR, Mata Atlantica, Agropecuaria, Sim, Nao, Nao,2, Sim, BA
2539,Flora, Angiospermas, Oxalidaceae, Oxalis blackii, , Criticamente em Perigo CR , CR, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim, ES
2540,Flora, Angiospermas, Oxalidaceae, Oxalis clausenii, , Criticamente em Perigo CR , CR, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos Agropecuaria, Sim, Nao, Nao,2, Sim, ES
2541,Flora, Angiospermas, Oxalidaceae, Oxalis diamantinae, , Criticamente em Perigo CR , CR, Cerrado, Mineracao Turismo Recreacao, Sim, Sim, Nao,2, Sim, MG
2542,Flora, Angiospermas, Oxalidaceae, Oxalis doceana, , Criticamente em Perigo CR , CR, Mata Atlantica, Plantacao de Madereiras, Sim, Nao, Nao,2, Sim, ES
2543,Flora, Angiospermas, Oxalidaceae, Oxalis hyalotricha," brusquilla, tacuarembo", Em Perigo EN , EN," Caatinga, Mata Atlantica", Extracao de Madeira, Sim, Nao, Nao,2, Nao," MS, PR, SP "
2544,Flora, Angiospermas, Oxalidaceae, Oxalis impatiens, , Em Perigo EN , EN, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Nao, Nao, Nao,1, Sim," ES, RJ"
2545,Flora, Angiospermas, Oxalidaceae, Oxalis kuhlmannii, , Criticamente em Perigo CR , CR, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim," ES, MG"
2546,Flora, Angiospermas, Oxalidaceae, Oxalis mandioccana, , Vulneravel VU , VU, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim," ES, MG, RJ"
2547,Flora, Angiospermas, Oxalidaceae, Oxalis paranaensis, , Criticamente em Perigo CR , CR, Mata Atlantica, Extracao de Madeira Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim, PR
2548,Flora, Angiospermas, Oxalidaceae, Oxalis praetexta, , Em Perigo EN , EN, Mata Atlantica, Especies Invasoras Linhas de Energia Turismo Recreacao, Sim, Nao, Nao,2, Sim, PR
2549,Flora, Angiospermas, Apocynaceae, Oxypetalum dusenii, , Em Perigo EN , EN, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Informacao nao disponivel, PR
2550,Flora, Angiospermas, Apocynaceae, Oxypetalum ekblomii, , Em Perigo EN , EN, Cerrado, Vazio, Sim, Sim, Nao,2, Informacao nao disponivel," DF, GO, MG, MT, SP"
2551,Flora, Angiospermas, Apocynaceae, Oxypetalum glaziovii, , Em Perigo EN , EN, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim," MG, RJ, SP"
2552,Flora, Angiospermas, Apocynaceae, Oxypetalum leonii, , Em Perigo EN , EN, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim, MG
2553,Flora, Angiospermas, Apocynaceae, Oxypetalum mexiae, , Criticamente em Perigo CR , CR, Mata Atlantica, Vazio, Nao, Nao, Nao,1, Sim, MG
2554,Flora, Angiospermas, Orchidaceae, Pabstia jugosa, , Em Perigo EN , EN, Mata Atlantica, Extracao Direta, Sim, Nao, Nao,2, Sim," ES, MG, RJ, SP"
2555,Flora, Angiospermas, Orchidaceae, Pabstia schunkiana, , Criticamente em Perigo CR , CR, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Nao, Nao, Nao,2, Sim, ES
2556,Flora, Angiospermas, Orchidaceae, Pabstiella bacillaris, , Em Perigo EN , EN, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim, PR
2557,Flora, Angiospermas, Orchidaceae, Pabstiella carinifera, , Vulneravel VU , VU, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim," PR, RJ, SC, SP"
2558,Flora, Angiospermas, Orchidaceae, Pabstiella castellensis, , Criticamente em Perigo CR , CR, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim, ES
2559,Flora, Angiospermas, Orchidaceae, Pabstiella conspersa, , Em Perigo EN , EN, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim," ES, RJ, SP"
2560,Flora, Angiospermas, Orchidaceae, Pabstiella garayi, , Criticamente em Perigo CR , CR, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim, ES
2561,Flora, Angiospermas, Orchidaceae, Pabstiella lingua, , Em Perigo EN , EN, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim," ES, MG, PE, RJ"
2562,Flora, Angiospermas, Orchidaceae, Pabstiella ruschii, , Criticamente em Perigo CR , CR, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim, ES
2563,Flora, Angiospermas, Eriocaulaceae, Paepalanthus ater, , Criticamente em Perigo CR , CR, Cerrado, Perda de Habitat Degradacao Induzida por Humanos Agropecuaria, Sim, Sim, Nao,2, Sim, MG
2564,Flora, Angiospermas, Eriocaulaceae, Paepalanthus hydra, Capipoatinga, Em Perigo EN , EN," Cerrado, Mata Atlantica", Agropecuaria Especies Invasoras, Sim, Sim, Nao,2, Sim, MG
2565,Flora, Angiospermas, Rubiaceae, Pagamea harleyi, , Vulneravel VU , VU, Mata Atlantica, Assentamentos Humanos Cidades, Sim, Nao, Nao,2, Sim, BA
2566,Flora, Angiospermas, Gesneriaceae, Paliavana werdermannii, , Vulneravel VU , VU," Caatinga, Cerrado", Vazio, Sim, Sim, Nao,2, Sim," BA, MG"
2567,Flora, Angiospermas, Rubiaceae, Palicourea fulgens, , Vulneravel VU , VU, Mata Atlantica, Agropecuaria, Sim, Nao, Nao,2, Sim," BA, ES"
2568,Flora, Angiospermas, Proteaceae, Panopsis multiflora, canela amarela, Em Perigo EN , EN, Mata Atlantica, Plantacao de Madereiras Poluicao Perda de Habitat Degradacao Induzida por Humanos Agropecuaria, Sim, Nao, Nao,2, Sim," MG, RJ, SP"
2569,Flora, Angiospermas, Asteraceae, Panphalea araucariophila, margarida dos pinhais, Em Perigo EN , EN, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos Agropecuaria Desenvolvimento e Infraestrutura, Sim, Nao, Nao,2, Informacao nao disponivel," RS, SC"
2570,Flora, Angiospermas, Asteraceae, Panphalea cardaminifolia, margaridinha, Em Perigo EN , EN, Mata Atlantica, Agropecuaria Assentamentos Humanos Cidades, Sim, Nao, Nao,2, Informacao nao disponivel," RS, SC"
2571,Flora, Angiospermas, Asteraceae, Panphalea maxima, Margarida grande do campo, Criticamente em Perigo CR , CR, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Nao, Nao, Nao,1, Informacao nao disponivel, SC
